Instance,activity_start,activity_start_rounded,activity_end,activity_end_rounded,duration_in_minutes,direction
50,05:51:06,6.00,07:19:12,07:30:00,88.1,180.0
43,08:25:54,8.50,09:52:30,10:00:00,86.6,270.0
13,08:31:24,8.50,08:50:36,09:00:00,19.2,270.0
1,09:04:06,9.00,11:03:24,11:00:00,119.3,270.0
14,09:18:54,9.50,09:51:12,10:00:00,32.3,270.0
36,09:40:48,9.50,11:07:24,11:00:00,86.6,270.0
40,09:52:06,10.00,11:15:12,11:30:00,83.1,315.0
30,10:02:30,10.00,11:35:30,11:30:00,93,315.0
11,10:16:54,10.50,10:47:30,11:00:00,30.6,315.0
21,10:24:54,10.50,10:58:12,11:00:00,33.3,315.0
49,11:13:00,11.00,12:41:24,12:30:00,88.4,315.0
46,11:08:36,11.00,12:34:00,12:30:00,85.4,315.0
22,11:13:48,11.00,11:45:30,12:00:00,31.7,315.0
47,11:27:30,11.50,12:53:24,13:00:00,85.9,360.0
12,11:25:54,11.50,11:43:30,11:30:00,17.6,360.0
57,11:44:48,11.50,13:15:06,13:30:00,90.3,360.0
29,12:03:06,12.00,14:04:30,14:00:00,121.4,360.0
37,11:58:24,12.00,13:22:00,13:30:00,83.6,360.0
